sku_produto_final,produto_final,sku_item,descricao_item,qtd_padrao,unidade
00504018,OVO Sakaguchi ao leite,0050304004,Liquor de Cacau - Sakaguchi (PA),0.014011,KG
00504018,OVO Sakaguchi ao leite,0140106004,Açúcar Demerara,0.007006,KG
00504018,OVO Sakaguchi ao leite,9990307005,Manteiga de Cacau Yanomami terc,0.003269,KG
00504018,OVO Sakaguchi ao leite,0050108008,Biscoito de castanha do Pará,0.026548,KG
00504018,OVO Sakaguchi ao leite,0050111002,Aromatizante Puxuri,1e-05,KG
00504018,OVO Sakaguchi ao leite,0050305009,Massa de Chocolate - Chocolate 60% - Sak,0.023352,KG
00504018,OVO Sakaguchi ao leite,9990111001,Flor de Sal,9e-05,KG
00504018,OVO Sakaguchi ao leite,0050305007,FACE OVO Sakaguchi ao leite,2,UN
00504018,OVO Sakaguchi ao leite,0050308011,Biscoito de castanha do Pará banhado com,0.05,KG
00504018,OVO Sakaguchi ao leite,0190212021,Selo para Embalagem Prisma,2,UN
00504018,OVO Sakaguchi ao leite,0190213032,Embalagem Ovo Sakaguchi ao leite,1,UN
00504018,OVO Sakaguchi ao leite,0190213034,Caixa para transporte Ovo 6un,0.1667,UN
00504018,OVO Sakaguchi ao leite,0190213045,Berço para Embalagem Ovo,1,UN
00504018,OVO Sakaguchi ao leite,0190214016,Cartão Surpresa - Prima Stampa,1,UN
00504018,OVO Sakaguchi ao leite,0200216011,"Papel Chumbo - Cromus - 43,5cm x 59cm",0.5,UN
00504018,OVO Sakaguchi ao leite,9970212003,ETIQ ADESIVA | PAPEL COUCHE A20-C | 30X3,1,UN
00504018,OVO Sakaguchi ao leite,9970212004,ETIQ PIMACO A4348 LASER 100F 9600UND,1,UN
00504018,OVO Sakaguchi ao leite,9990115001,SAQUINHO BIODEGRADAVEL COMPOSTAVEL,0.0064,KG
00504018,OVO Sakaguchi ao leite,9990115002,Blister ovo 35,2,UN
00504018,OVO Sakaguchi ao leite,9990712002,ETIQUETA PARA QR CODE 40x40mm,1,UN
00504018,OVO Sakaguchi ao leite,0050111003,Semente de Cumaru,0,KG
00504018,OVO Sakaguchi ao leite,0050304004,Liquor de Cacau - Sakaguchi (PA),0.1,KG
00504018,OVO Sakaguchi ao leite,0140106004,Açúcar Demerara,0.0925,KG
