sku,descricao,categoria_produto,unidade
05400004,Coca-Cola Zero Lata 350ml,Mercadoria de Revenda,PC
05400005,Guarana Antartica Tradicional Lata 350ml,Mercadoria de Revenda,PC
05400006,Guarana Antartica Zero Lata 350ml,Mercadoria de Revenda,PC
05400007,Fanta Laranja Lata 350ml,Mercadoria de Revenda,PC
0990102001,Amêndoa de Cacau Torrada Terceiros,Produto em Processo,PC
0990103001,Nibs de Cacau Terceiros,Produto em Processo,PC
0990866004,Conchadeira Conca 100,Ativo Imobilizado,UN
0990866005,ONE SHOT OSD 0 (OSD0007A51),Ativo Imobilizado,UN
0990866006,TEMPERING MACHINE SL 50,Ativo Imobilizado,UN
0990866007,TILTING BELT 250 FOR SL50 Cobrideira,Ativo Imobilizado,UN
0990866008,MA1004 - PRALINA WAVE 2 POLYCARBONATE MO,Ativo Imobilizado,UN
0990866009,MA1006 - PRALINA WAVE 4 POLYCARBONATE MO,Ativo Imobilizado,UN
0990866010,MA1008 - PRALINE PRISMA SQUARE POLYCARB.,Ativo Imobilizado,UN
0990866011,MA1010 - PRALINE OCTAGONAL PRISMA POLYCA,Ativo Imobilizado,UN
0990866012,MA1014 - TWIST PRALINE POLYCARBONATE MOU,Ativo Imobilizado,UN
0990866013,MA1018 - PRALINE COCOA POLYCARBONATE MOU,Ativo Imobilizado,UN
0990866014,MA1021 - SWEET1 PRALINE POLYCARBONATE MO,Ativo Imobilizado,UN
0990866015,MA1041 - PRALINE PAVILION POLYCARBONATE,Ativo Imobilizado,UN
0990866016,MA1046 - PRALINE 37X31 H 16 MM POLYCARB.,Ativo Imobilizado,UN
0990866017,MA1049 - PRALINE OBLIO POLYCARBONATE MOU,Ativo Imobilizado,UN
