sku,descricao,categoria_produto,unidade
05004179,LO Ao Leite Flowpack Zero Açucar 11g,,PC
05004180,LO Intenso Flowpack Zero Açucar 11g,Produto Acabado,PC
05004181,Sibionics Chocolate Ao Leite Flowpack,Produto Acabado,PC
05004300,Selecao Degustacao Magio 1,Produto Local,PC
05004077,Balaio Ribeirinhos cx12un sort fix 72g 1,Produto Acabado,PC
05004079,Papai Noel - 130g,Produto Acabado,PC
05004081,Casa do Papai Noel - 180g,Produto Acabado,PC
05004082,Calendario do Advento,Produto Acabado,PC
0430303001,NIBS DE CACAU - Takahashi,Produto em Processo,KG
05004148,Caixa de Bombons M (14 bombons),Produto Acabado,PC
05004149,Caixa de Bombons G (30 bombons),Produto Acabado,PC
05104006,Bombom Toco Branco Praliné 10g,Produto Acabado,PC
05104064,Língua de Onça Cupulate 5g,Produto Acabado,PC
05104071,Bombom Bom Jardim Intenso 10g,Produto Acabado,PC
05104072,Bombom Surpresa da Floresta Cupulate 10g,Produto Acabado,PC
05104077,Biscoito Puxuri Chocolate - Unitário,Produto Acabado,UN
05104078,Língua de Onça ao leite 11g - CAFETERIA,Produto Local,PC
05104079,Biscoito Puxuri Cupulate - unitário,Produto Acabado,PC
05104080,Barra Recheada Pistache Granel 80g,Produto Acabado,PC
05104081,Barra Recheada Maracujá Granel 80g,Produto Acabado,PC
