sku,origem,data_faturamento,quantidade,descricao
05004010,Alm_SP_Loja,2025-09-17,1,MAGIO Povos Mocajuba 74% 60g
05004014,Alm_SP_Loja,2025-09-17,1,MAGIO Língua de Onça Intso Praliné Cx80g
05004047,Alm_SP_Loja,2025-09-17,1,Biscoito Cast. Pará Chocolate 60% 150g
05004048,Alm_SP_Loja,2025-09-17,1,Biscoito Cast. Pará Cupulate 70% 150g
05004048,Alm_SP_Loja,2025-09-17,1,Biscoito Cast. Pará Cupulate 70% 150g
05004016,Alm_SP_Loja,2025-09-17,1,MAGIO Lg de Onça Lt Praliné Avelã Cx80g
05004097,Alm_SP_Loja,2025-09-17,1,Barra ES Leite com Avelã e Maracujá 80g
05104077,Alm_SP_Loja,2025-09-17,1,Biscoito Puxuri Chocolate - Unitário
05304007,Alm_SP_Loja,2025-09-17,1,Macchiato
05104062,Alm_SP_Loja,2025-09-17,1,Língua de Onça Chocolate Intenso 5g
05304005,Alm_SP_Loja,2025-09-17,1,Cafe Expresso
05104077,Alm_SP_Loja,2025-09-17,1,Biscoito Puxuri Chocolate - Unitário
