numero_op,sku_produto_final,sku_material,descricao_material,qtd_consumo,qtd_previsto,qtd_diferenca,data_registro,data_producao,status
4063,9990311041,9990111021,DEXTROSE,0.0026,0.0252,-0.0226,2026-05-18,2026-05-14,Produzida
4063,9990311041,9990111023,Sorbitol em Pó,0.0091,0.0202,-0.0111,2026-05-18,2026-05-14,Produzida
4063,9990311041,9990111053,MALTODEXTRINA DE10 1910,0.002,0,0.002,2026-05-18,2026-05-14,Produzida
4063,9990311041,9990111054,Sorbato de Potássio Granulado,0.0003,0,0.0003,2026-05-18,2026-05-14,Produzida
4063,9990311041,999011184,Maracujá Liofilizado,0,0.0026,-0.0026,2026-05-18,2026-05-14,Produzida
4063,9990311041,9990315025,Polpa de Maracujá Reduzida,0.0753,0.0385,0.0368,2026-05-18,2026-05-14,Produzida
4062,05104016,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,0.1448,0.1448,0,2026-05-18,2026-05-14,Produzida
4062,05104016,9990311041,Ganache maracujá,0.22,0.2171,0.0029,2026-05-18,2026-05-14,Produzida
4061,9990315024,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,0.4354,0.4354,0,2026-05-18,2026-05-14,Produzida
4061,9990315024,0140106804,Açúcar invertido,0.023,0.023,0,2026-05-18,2026-05-14,Produzida
4061,9990315024,9990111003,Creme de Leite UHT 25%,0.1452,0.1452,0,2026-05-18,2026-05-14,Produzida
4061,9990315024,9990111006,Manteiga de Leite,0.0201,0.0201,0,2026-05-18,2026-05-14,Produzida
4061,9990315024,9990111023,Sorbitol em Pó,0.0173,0.0173,0,2026-05-18,2026-05-14,Produzida
4061,9990315024,9990311004,Praliné Pistache,0.36,0.3592,0.0008,2026-05-18,2026-05-14,Produzida
4060,05104022,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,0.135,0.135,0,2026-05-18,2026-05-14,Produzida
4060,05104022,9990111010,Pistache,0,0.0324,-0.0324,2026-05-18,2026-05-14,Produzida
4060,05104022,9990315024,Massa de trufa de Pistache,1,0.9126,0.0874,2026-05-18,2026-05-14,Produzida
4059,9990311025,0020305008,Massa de Chocolate - Mocajuba Intenso,0.0829,0,0.0829,2026-05-18,2026-05-14,Produzida
4059,9990311025,0140106804,Açúcar invertido,0.0074,0.0082,-0.0008,2026-05-18,2026-05-14,Produzida
4059,9990311025,0260305001,Massa de Chocolate - Moju Intenso,0,0.0877,-0.0877,2026-05-18,2026-05-14,Produzida
4059,9990311025,9990107001,MANTEIGA DE CACAU desodorizada,0,0.0015,-0.0015,2026-05-18,2026-05-14,Produzida
