sku,descricao,data_saida,data_entrada,documento,almoxarifado_origem,almoxarifado_destino,quantidade,lote
05104071,Bombom Bom Jardim Intenso 10g,2026-07-20,2026-07-20,4352,Almox_SP_Processo,Almox_SP_Fabrica,105,020010406C000000726
05104071,Bombom Bom Jardim Intenso 10g,2026-07-24,2026-07-24,4404,Almox_SP_Fabrica,Almox_SP_Loja,45,020010406C000000726
05104071,Bombom Bom Jardim Intenso 10g,2026-07-24,2026-07-24,4406,Almox_SP_Processo,Almox_SP_Fabrica,21,260010406C000010126
05104077,Biscoito Puxuri Chocolate - Unitário,2026-07-20,2026-07-20,4362,Almox_SP_Processo,Almox_SP_Fabrica,100,050010406S000050426
05104077,Biscoito Puxuri Chocolate - Unitário,2026-07-20,2026-07-20,4363,Almox_SP_Fabrica,Almox_SP_Loja,100,050010406S000050426
05104081,Barra Recheada Maracujá Granel 80g,2026-07-24,2026-07-24,4408,Almox_SP_Qualidade,Degustação,11,050010406D000050426
05104096,Bombom SF Castanha-do-Pará 10g,2026-07-24,2026-07-24,4404,Almox_SP_Fabrica,Almox_SP_Loja,12,050010406M000050426
05104129,Língua de Onça Intenso Zero Açúcar 11g,2026-07-24,2026-07-24,4406,Almox_SP_Processo,Almox_SP_Fabrica,713,26001040AC000010326
05400001,Agua sem Gas em Lata 310ml,2026-07-24,2026-07-24,4404,Almox_SP_Fabrica,Almox_SP_Loja,5,130226
05400002,agua com Gas em Lata 310ml,2026-07-24,2026-07-24,4404,Almox_SP_Fabrica,Almox_SP_Loja,12,050226
0540001,Pão de queijo 70 gr,2026-07-24,2026-07-24,4404,Almox_SP_Fabrica,Almox_SP_Loja,15,26111
0540002,Pão de queijo com requeijão 100gr,2026-07-24,2026-07-24,4404,Almox_SP_Fabrica,Almox_SP_Loja,10,262118
945,Folder SSAL,2026-07-24,2026-07-24,4401,Almox_SP_Fabrica,Almox_SP_Processo,4,V.04052026
9990107001,MANTEIGA DE CACAU desodorizada,2026-07-20,2026-07-20,4351,Almox_SP_Fabrica,Almox_SP_Processo,25,0000037118
9990107001,MANTEIGA DE CACAU desodorizada,2026-07-24,2026-07-24,4401,Almox_SP_Fabrica,Almox_SP_Processo,25,0000037118
9990111004,Baunilha em Fava,2026-07-20,2026-07-20,4351,Almox_SP_Fabrica,Almox_SP_Processo,0.1,L182
